Building Number,Building Abbr,Ofﬁcial Building Name,Original Year,Ext SqFt,Net SqFt
1,OLDC,OLD CENTRAL,1893,14085.75,11744.15
2,SCPA,SERETEAN CENTER FOR THE PERFORMINGARTS,1912,99277.28,82338.5
3,BC,BARTLETT CENTER FOR THE VISUAL ARTS,1910,36491.28,30894.81
4,M,MORRILL,1906,45187.69,38226.16
5,CPAC,CONOCOPHILLIPS OSU ALUMNI CENTER,2005,51522.86,46804.45
6,GU,GUNDERSEN,1912,33700.08,29576.22
7,BU,BUSINESS,2017,153369.87,136596.55
8,ENDV,CEAT ENDEAVOR LAB,2018,91125.36,74153.75
9,ARCH,DONALDW. REYNOLDS SCHOOL OF ARCHITECTURE,1919,70840.78,65416.2
10,,BENNETT MEMORIAL CHAPEL,1958,5440.79,4518.04
12,JB,PAUL MILLER JOURNALISM AND BROADCASTING,1918,38405.46,34979.56
13,THR,THATCHER,1925,27407.13,23698.08
15,WH,WHITEHURST,1925,73644.42,63310.4
19,PI,PUBLIC INFORMATION,1930,19780.37,16889.22
21,BPS,BOONE PICKENS STADIUM,1941,1088679.1,1026613.33
24,SSH,SOCIAL SCIENCES AND HUMANITIES,1934,109330.76,95950.41
25,PSY,PSYCHOLOGY,1936,38776.8,32054.37
27,ES,ENGINEERING SOUTH,1938,106250.14,86927.67
28,LSE,LIFE SCIENCES EAST,1938,86073.56,77520.23
29,AC,ATHLETIC CENTER,1938,421254.28,354759.06
30,NRDW,NANCY RANDOLPH DAVIS WEST,1983,52802.06,48604.86
,,NANCY RANDOLPH DAVIS WEST PLAYGROUND SHELTER,,,
0030A,,,2000,625.51,601.03
,,A,,,
,,NANCY RANDOLPH DAVIS WEST PLAYGROUND SHELTER,,,
0030B,,,2000,625.51,601.03
,,B,,,
31,WLLD,WILLARD,1939,112161.11,101175.62
33,FS,CAMPUS FIRE STATION,1938,22486.09,20303.6
34,STOUT,STOUT HALL,1948,102138.98,87535.45
35,SU,STUDENT UNION,1948,479309.35,432294.28
0035A,,STUDENT UNION PARKING GARAGE,1969,186564,181866
36,NRD,NANCY RANDOLPH DAVIS,1949,197572.27,176309.14
37,,POWER PLANT,1948,53479,50026
0037A,,POWER PLANT GAS METER HOUSE,1950,-pending-,-pending-
